,step,psnr,ssim,msssim,lpips,message_bits_str_initial,bit_accuracy,p_value,message_bits_str_recovered,detection_successful
0,-1,inf,1.0,1.0,0.0,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.48828125,0.0,1000010011001001110011101000100101001001000101100101000001001100010101111000000011110101100000100011110100001011001100001011011000000011111100100110010110110111110101100100000010001110111110101100100011110001011011100000010010001000111001000100101101110110,False
1,0,25.48659896850586,0.5067523054220637,0.85959792137146,0.10382567346096039,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.54296875,0.0,0110111000000100010001101000000111001111100001101110010011011100000101101010111100111001100110001001001110010011001100100011010001000111000101001111011010010110100111110110001100011100101100101110000100011111000010101111010000101010011111011100100001000100,False
2,10,24.809783935546875,0.4767208049505584,0.8289871215820312,0.13426756858825684,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.68359375,0.0,0001011101000011010000110010100001100110100000111111110000011110000101101010011111101100101110101000000010100011110110000011111111010011111100001011010000110011110101110100001000011100011100101110000000000001000000001111010000101010011001001101000100001110,False
3,20,24.1500301361084,0.4487517743542533,0.8009381890296936,0.165930837392807,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.77734375,0.0,0101010100001011010100010000110100100010001100111111110001010011000101001010011011101110110110101001000010100011110010110100111110011001111000001011010000010111110110110110001000001001111100111110000000001001000001001110010000000010011001011000000111001110,True
4,30,23.717987060546875,0.42774802662212175,0.7838125228881836,0.1861279308795929,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.80859375,0.0,0100010101000001010010000001110100100000000100111111110001101111000101001010111011101110110111111001000011010010110100110101100111011001011100001111110000110111110011110100001011001001111100101111000000001001001001001010110000000010011000011100000101001100,True
5,40,23.41156768798828,0.41425566997032687,0.7724603414535522,0.20039820671081543,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.83203125,0.0,0101010000100001010010110011110000101000000100111111110001001111000101000010011011100001010111101000000011110010110110110000101110011001011110001111000000110111010111101110001001011000110101111111000001001101001001101110110000000010010000011100000101001100,True
6,50,23.164094924926758,0.4038253713634623,0.7634862065315247,0.20931532979011536,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.84375,0.0,0101010101110011010010110011110000101010000100111111010001110111010101001010111111100001010110111001000011110010110111100100101010011001011010001111000000110101010101011100011011011000011101101111100001001101001001011110110000000010011000011100000101001100,True
7,60,22.945842742919922,0.3952674463026332,0.7554199695587158,0.218941792845726,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.8671875,0.0,0101010101111011000010010001110000101000001100111110010011111011010101000010111111100001010111100000001111110010110111110001101010011001111010001111000000110101010101100110001001001000011111101111100001001100001001011010110000001010011001011100000111001100,True
8,70,22.746807098388672,0.388077001378544,0.7481545209884644,0.23038539290428162,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.88671875,0.0,0101010100010001000010110001110000101000001100111100110011111111000101001010111111100000010111100000000111110010110111000100101110011001111110001011000000110100010111000100011111001000011111101110100001001100001001011010110000001010111000001000000111001100,True
9,80,22.564271926879883,0.3811384821459701,0.7412790656089783,0.2388903647661209,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.83203125,0.0,0101011100110101000010110001110010101001000000111100110001011011000101001010110111100000010111100000000011110010100111000100101110011001111110001111000001010101010111001000001101001100110111101111100001001100001001011010110000000010111000001100000110001100,True
